MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Darshana Vikram Jardosh,False,SURAT,,17th Lok Sabha,17.0,9.5,9.8057,10.5521,9.4148,9.2454,0.5603,0,0.5538117647058823,0,0.6207117647058823,0,0.057140234761414284,0,0.017992947274503925,0,0.474,9.5,Low,Compliant within operational parameters
Poonamben Hematbhai Maadam,False,JAMNAGAR,,17th Lok Sabha,17.0,9.5,9.8131,11.2592,9.3252,7.622,2.1911,0,0.5485411764705883,0,0.6623058823529412,0,0.2232831623034515,0,0.18264487624930303,0,0.465,9.3,Low,Compliant within operational parameters
Mahendrabhai Kalubhai Munjpara,False,SURENDRANAGAR,,17th Lok Sabha,17.0,7.0,7.4192,7.4661,6.8812,6.8081,0.6111,0,0.4047764705882353,0,0.43918235294117647,0,0.08236737114513694,0,0.01062314712550139,0,0.494,9.9,Low,Compliant within operational parameters
Hasmukh Bhai Soma Bhai Patel,False,AHMEDABAD EAST,,17th Lok Sabha,17.0,9.5,9.7264,15.3581,10.4944,8.8347,0.8917,0,0.6173176470588235,0,0.9034176470588235,0,0.09167831880243461,0,0.15815101387406624,0,0.483,9.7,Low,Compliant within operational parameters
Bharatiben Dhirubhai Shyal,False,BHAVNAGAR,,17th Lok Sabha,17.0,7.0,9.955,18.2828,11.8159,9.7617,0.1933,0,0.6950529411764705,0,1.0754588235294118,0,0.01941737820190859,0,0.1738504895945294,0,0.529,10.6,Low,Compliant within operational parameters
Dipsinh Shankarsinh Rathod,False,SABARKANTHA,,17th Lok Sabha,17.0,9.5,9.6907,12.217,11.2814,9.0034,0.6873,0,0.6636117647058823,0,0.7186470588235294,0,0.07092366908479264,0,0.20192529296009365,0,0.474,9.5,Low,Compliant within operational parameters
Rameshbhai Lavjibhai Dhaduk,False,PORBANDAR,,17th Lok Sabha,17.0,9.5,12.9787,14.4591,13.3566,12.8236,0.1551,0,0.7856823529411765,0,0.8505352941176471,0,0.011950349418662885,0,0.039905365137834437,0,0.546,10.9,Low,Compliant within operational parameters
Ratansinh Magansinh Rathod,False,PANCHMAHAL,,17th Lok Sabha,17.0,7.0,7.2249,11.3559,6.781,6.47,0.7549,0,0.39888235294117647,0,0.6679941176470588,0,0.1044858752370275,0,0.045863441970210875,0,0.49,9.8,Low,Compliant within operational parameters
Krishan Pal Gurjar,False,FARIDABAD,,17th Lok Sabha,17.0,5.0,5.862,5.7558,5.7558,2.9295,2.9325,0,0.33857647058823526,0,0.33857647058823526,0,0.5002558853633572,1,0.49103512978213276,1,0.627,52.5,Medium,High idle/unspent balance (>50%); Execution delay gap (>40% sanctioned not spent)
Sunita Duggal,False,SIRSA(SC),,17th Lok Sabha,17.0,9.5,9.7022,14.6865,9.5745,6.8655,2.8367,0,0.5632058823529412,0,0.8639117647058824,0,0.29237698666281875,0,0.28293905686981047,0,0.501,10.0,Low,Compliant within operational parameters
